COMMODITY_NAME,TOTAL_COMMODITY_VALUE,DIVERSIFICATION_SCORE,TOP_MARKET,TOP_MARKET_VALUE,CONCENTRATION_RISK_%
SPICES                                            ,3785.35,193,CHINA P RP,793.41,20.960016907287304
CEREAL PREPARATIONS                               ,752.63,178,U S A,125.41,16.662902090004383
PROCESSED FRUITS AND JUICES                       ,908.62,177,U S A,131.99,14.52642468798838
"GRANIT, NATRL STONE AND PRODCT                    ",1373.28,174,CHINA P RP,388.02,28.254980775952465
BULK MINERALS AND ORES                            ,477.02,168,CHINA P RP,195.6,41.00457003899208
TEA                                               ,817.57,167,U ARAB EMTS,165.53,20.24658439032743
RICE(OTHER THAN BASMOTI)                          ,6356.63,162,BENIN,529.21,8.325323323836688
RICE BASMOTI                                      ,4787.62,158,SAUDI ARAB,1036.72,21.65418308052853
PROCESSED VEGETABLES                              ,508.95,158,U S A,89.24,17.534138913449258
FRESH FRUITS                                      ,864.58,155,U ARAB EMTS,151.19,17.487103564736632
MARINE PRODUCTS                                   ,8078.03,152,U S A,2582.65,31.971285078168815
COFFEE                                            ,1146.15,146,ITALY,148.76,12.979103956724686
MILLED PRODUCTS                                   ,289.06,140,SOMALIA,34.94,12.087455891510412
SESAME SEEDS                                      ,425.89,140,KOREA RP,64.3,15.09779520533471
OTHER CEREALS                                     ,1194.02,137,BANGLADESH PR,555.57,46.529371367313786
COCOA PRODUCTS                                    ,154.5,137,U S A,32.07,20.75728155339806
DAIRY PRODUCTS                                    ,589.33,134,U S A,240.6,40.82602277162201
FRESH VEGETABLES                                  ,926.4,120,U ARAB EMTS,158.39,17.09736614853195
OTHER OIL SEEDS                                   ,69.91,118,CANADA,28.22,40.3661850951223
GROUNDNUT                                         ,831.62,104,INDONESIA,278.99,33.54777422380415
CASHEW                                            ,356.24,104,U ARAB EMTS,126.73,35.57433191107119
TOBACCO UNMANUFACTURED                            ,822.22,94,BELGIUM,243.29,29.58940429568728
OIL MEALS                                         ,1601.73,91,VIETNAM SOC REP,384.79,24.023399699075377
BUFFALO MEAT                                      ,3193.71,68,MALAYSIA,534.03,16.721305315761292
"COAL,COKE AND BRIQUITTES ETC                      ",385.01,59,NEPAL,141.36,36.71592945637776
IRON ORE                                          ,1797.51,37,CHINA P RP,1396.83,77.70916434400921
NIGER SEEDS                                       ,10.209999999999999,37,U S A,8.02,78.55044074436826
PROCESSED MEAT                                    ,1.5699999999999998,28,KUWAIT,0.59,37.57961783439491
OTHER MEAT                                        ,2.44,26,BHUTAN,2.18,89.34426229508198
ANIMAL CASINGS                                    ,40.9,25,HONG KONG,30.46,74.47432762836186
SHEEP/GOAT MEAT                                   ,67.91000000000001,21,U ARAB EMTS,50.34,74.12752171992342
"WOOL, RAW                                         ",0.0,1,U S A,0.0,
